category,brand,originalStatus,resolvedBrandName,source,verifiedSeriesCount,verifiedVariantCount,action,isSelectable,aliasCreated,reason,confidence
"Arazi, SUV & Pickup",Daewoo,empty_branch,Daewoo,historical-public-market,2,2,FILL,true,false,Historical SsangYong-related Daewoo-badged SUVs sold in many markets,medium
"Arazi, SUV & Pickup",Santana,empty_branch,Santana,historical-public-market,2,2,FILL,true,false,Spanish Santana Motor off-road models with verified public naming,medium
Motosiklet,Abush,empty_branch,Abush,https://www.abush.com.tr/tr/fiyat-listesi,9,10,FILL,true,false,Official TR OEM price list; CG 50 Plus tel/çelik jant kept as variants of one series,high
Motosiklet,Aeon,empty_branch,Aeon,oem-public,3,3,FILL,true,false,Verified Aeon model lineup with internationally recognized names,high
Motosiklet,Ariic,empty_branch,Ariic,http://en.ariic-scooter.com/product/default-7.htm,5,5,FILL,true,false,OEM Ariic (Jinlang) scooter lineup verified from manufacturer/distributor product pages,high
Motosiklet,Barossa,empty_branch,Barossa,https://www.barossamotor.com/,3,3,FILL,true,false,"Official TR Barossa site lists JEDI, ADV 125, GV 650 road motorcycle models",high
Motosiklet,Belderia,empty_branch,Belderia,https://belderia.com/,0,0,HIDE,false,false,Bicycle manufacturer; not a motorcycle OEM for Vasıta Motosiklet,high
Motosiklet,Better,empty_branch,Better,none,0,0,HIDE,false,false,No verifiable motorcycle OEM model tree for TR market found,high
Motosiklet,Bianchi,empty_branch,Bianchi,https://www.bianchi.com/,0,0,HIDE,false,false,Primarily bicycle brand; not applicable to motorcycle catalog,high
Motosiklet,Boom,empty_branch,Boom,none,0,0,HIDE,false,false,No verified TR motorcycle OEM series tree; Boom Trikes EU brand not confirmed as this catalog entry,high
Motosiklet,Borelli Ledow,empty_branch,Borelli Ledow,none,0,0,HIDE,false,false,No verifiable public OEM series/model tree found,high
Motosiklet,BSA,empty_branch,BSA,oem-public,1,1,FILL,true,false,Verified BSA Gold Star 650 model,high
Motosiklet,BuMoto/Jinling,empty_branch,BuMoto/Jinling,https://www.motodeks.com/bumoto-jingling/,15,15,FILL,true,false,TR trade name for Jinling; single combined brand kept (not two separate catalogs). Motodeks lists verifiable series names.,high
Motosiklet,Cheeta,empty_branch,Cheeta,none,0,0,HIDE,false,false,No verifiable OEM site or stable model tree found,high
Motosiklet,Cosmopolitan,empty_branch,Cosmopolitan,none,0,0,HIDE,false,false,Appears historically as trike scooter listing name; no stable OEM brand catalog tree verified,medium
Motosiklet,CRN,empty_branch,CRN,none,0,0,HIDE,false,false,No verifiable public series/model tree found,high
Motosiklet,CSN Motor,empty_branch,CSN Motor,https://csnmotor.com.tr/fiyat-listesi/,26,27,FILL,true,false,Official CSN Motor TR retail price list (ICE + e-motion models sold as motorcycles/scooters),high
Motosiklet,Çelik Motor,empty_branch,Çelik Motor,https://www.celikmotor.com/,0,0,HIDE,false,false,"Anadolu Group automotive distributor (Kia etc.), not a motorcycle OEM brand",high
Motosiklet,Dayun,empty_branch,Dayun,export-naming,2,2,FILL,true,false,"Common Dayun export model naming (DY125, DY150)",medium
Motosiklet,Delta Motorcycle,empty_branch,Delta Motorcycle,invalid-source,0,0,HIDE,false,false,No TR motorcycle OEM catalog found; name matches unrelated dealers/parts entities abroad,high
Motosiklet,Dofern,empty_branch,Dofern,https://dofern-tr.com/modeller/,3,3,FILL,true,false,Official TR Dofern distributor model pages,high
Motosiklet,Dorado,empty_branch,Dorado,https://dorado.com.tr/,3,3,FILL,true,false,Official Dorado Motor TR site; distinct from Keeway Dorado model name,high
Motosiklet,Enbest,empty_branch,Enbest,https://enbest.com.tr/,2,2,FILL,true,false,Official Enbest Motor TR site + retail listings for A01/A02 mini cross models,high
Motosiklet,FCM,empty_branch,FCM,none,0,0,HIDE,false,false,No verifiable public series/model tree found,high
Motosiklet,Fosti,empty_branch,Fosti,none,0,0,HIDE,false,false,Historical used-market mentions exist but no OEM catalog tree reliable enough to invent series names,medium
Motosiklet,Italjet,empty_branch,Italjet,oem-public,2,2,FILL,true,false,Verified Italjet Dragster model lineup,high
Motosiklet,Jawa,empty_branch,Jawa,oem-public,3,3,FILL,true,false,Verified Jawa model lineup,high
Motosiklet,Jialing,empty_branch,Jialing,export-naming,2,2,FILL,true,false,"Common Jialing export model naming (JH125, JH150)",medium
Motosiklet,Mash,empty_branch,Mash,oem-public,3,3,FILL,true,false,Verified Mash model lineup,high
Motosiklet,Meka,empty_branch,Meka,https://www.mekamotor.com.tr/,9,9,FILL,true,false,Official MEKA Motor TR site + product catalog PDF,high
Motosiklet,Motron,empty_branch,Motron,oem-public,3,3,FILL,true,false,Verified Motron model lineup,high
Motosiklet,MZ,empty_branch,MZ,oem-public,2,2,FILL,true,false,Verified MZ model lineup,high
Motosiklet,Skyjet,empty_branch,Skyjet,https://skyjet.com.tr/,0,0,HIDE,false,false,TR site focuses on e-bikes; no verified ICE motorcycle series tree for Motosiklet category,medium
