targetPath,candidateCategoryId,candidatePath,similarityScore,semanticMatch,relationCounts,finalDecision,preserveId,reason,reviewerRequired,confidence
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablosuz Şarj Cihazı,cmsg3xg3m001huzdc7fdghxgl,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-cihazi,0.667,false,L:0|P:0|O:0|B:30|A:7|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Powerbank,cmsg3xg1y0013uzdcn3no2nil,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-powerbank,1.000,true,L:0|P:0|O:0|B:30|A:7|M:0|C:0,SPLIT_EXISTING,false,Powerbank leaf vs Şarj & Powerbank compound — split,true,EXACT
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Bluetooth Kulaklık,cmsg3xg1g0011uzdcfo9uiwzh,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/kulaklik,1.000,true,L:0|P:0|O:0|B:30|A:7|M:0|C:0,RENAME_EXISTING,true,Kulaklık & Bluetooth → Bluetooth Kulaklık rename + path move,false,EXACT
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Yedek Parça,cmsg3xg4p001nuzdcfo07dap1,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/telefon-yedek-parca,0.600,false,L:0|P:0|O:0|B:30|A:7|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Telsiz,cmsg3xhcq0099uzdcuueznmxr,sifir-urun/sifir-urun-teknik-elektronik/telsiz-haberlesme,0.600,true,L:0|P:0|O:0|B:10|A:1|M:0|C:0,SPLIT_EXISTING,false,target 'Telsiz' is a part of compound DB node 'Telsiz & Haberleşme' — split; do not create orphan duplicate without split plan,true,MEDIUM
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Dizüstü Bilgisayar,cmsg3xgb4002fuzdc9803rtxy,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/dizustu,1.000,true,L:0|P:0|O:0|B:24|A:5|M:0|C:0,RENAME_EXISTING,true,exact/near main or group node — rename/reuse id cmsg3xgb4002fuzdc9803rtxy → 'Elektronik › Bilgisayar ve Tablet › Bilgisayar › Dizüstü Bilgisayar',false,HIGH
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye,cmsg3xgg9002tuzdctxioz346,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/cevre-birimi,0.600,false,L:0|P:0|O:0|B:24|A:5|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mouse,cmsg3xgg9002tuzdctxioz346,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/cevre-birimi,0.600,false,L:0|P:0|O:0|B:24|A:5|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Kulaklık,cmsg3xg1g0011uzdcfo9uiwzh,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/kulaklik,0.600,false,L:0|P:0|O:0|B:30|A:7|M:0|C:0,CREATE_NEW_CONFIRMED,false,name similarity across different taxonomy branches — create under target parent,false,MEDIUM
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Yazıcı,cmsg3xgfp002puzdcg7jmoiov,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/yazici-tarayici,1.000,true,L:0|P:0|O:0|B:24|A:5|M:0|C:0,SPLIT_EXISTING,false,target 'Yazıcı' is a part of compound DB node 'Yazıcı & Tarayıcı' — split; do not create orphan duplicate without split plan,true,EXACT
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Modem,cmsg3xggl002vuzdc797cj1tk,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/network,0.600,true,L:0|P:0|O:0|B:24|A:5|M:0|C:0,SPLIT_EXISTING,false,target 'Modem' is a part of compound DB node 'Network & Modem' — split; do not create orphan duplicate without split plan,true,MEDIUM
"Elektronik › Televizyon, Görüntü ve Ses",cmsg4wp1h0021uzxwh40ko79d,sifir-urun/elektronik/tv-goruntu-ve-ses,1.000,true,L:1|P:0|O:0|B:19|A:3|M:0|C:6,RENAME_EXISTING,true,"TV group rename to Televizyon, Görüntü ve Ses",true,EXACT
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Soundbar",cmsg3xgmm003puzdcielhsi13,sifir-urun/elektronik/tv-goruntu-ve-ses/tv-goruntu-ses/ses-sistemi,0.600,true,L:0|P:0|O:0|B:19|A:3|M:0|C:0,SPLIT_EXISTING,false,target 'Soundbar' is a part of compound DB node 'Ses Sistemi & Soundbar' — split; do not create orphan duplicate without split plan,true,MEDIUM
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Ev Sinema Sistemi",cmsg3xgmy003ruzdcokrcyx4b,sifir-urun/elektronik/tv-goruntu-ve-ses/tv-goruntu-ses/ev-sinemasi,1.000,true,L:0|P:0|O:0|B:19|A:3|M:0|C:0,RENAME_EXISTING,true,Ev Sineması → Ev Sinema Sistemi,false,EXACT
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Amfi",cmsg3xivr00jduzdcpr0k8nwz,sifir-urun/sifir-urun-muzik/ampli-efekt,0.600,false,L:0|P:0|O:0|B:13|A:1|M:0|C:0,CREATE_NEW_CONFIRMED,false,name similarity across different taxonomy branches — create under target parent,false,MEDIUM
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık",cmsg3xg1g0011uzdcfo9uiwzh,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/kulaklik,0.600,false,L:0|P:0|O:0|B:30|A:7|M:0|C:0,CREATE_NEW_CONFIRMED,false,name similarity across different taxonomy branches — create under target parent,false,MEDIUM
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Dijital Fotoğraf Makinesi",cmsg3xh91008fuzdc774prz92,sifir-urun/elektronik/fotograf-ve-kamera/fotograf-kamera/fotograf-makinesi,0.667,false,L:0|P:0|O:0|B:11|A:2|M:0|C:0,CREATE_NEW_CONFIRMED,false,MEDIUM weak/ambiguous — safer to CREATE_NEW under target parent than force merge,false,MEDIUM
"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Tripod",cmsg3xh9u008nuzdcn9mpo67o,sifir-urun/elektronik/fotograf-ve-kamera/fotograf-kamera/tripod-aksesuar,0.600,true,L:0|P:0|O:0|B:11|A:2|M:0|C:0,SPLIT_EXISTING,false,target 'Tripod' is a part of compound DB node 'Tripod & Aksesuar' — split; do not create orphan duplicate without split plan,true,MEDIUM
